Wed, 13 Feb 2019 17:06:37 -0500	Output.
Wed, 13 Feb 2019 17:06:37 -0500	View "/".
Wed, 13 Feb 2019 17:06:49 -0500	Looking for "index".
Wed, 13 Feb 2019 17:06:49 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:06:49 -0500	Found.
Wed, 13 Feb 2019 17:06:49 -0500	Output.
Wed, 13 Feb 2019 17:06:49 -0500	View "/".
Wed, 13 Feb 2019 17:06:53 -0500	Looking for "index".
Wed, 13 Feb 2019 17:06:53 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:06:53 -0500	Found.
Wed, 13 Feb 2019 17:06:53 -0500	Output.
Wed, 13 Feb 2019 17:06:53 -0500	View "/".
Wed, 13 Feb 2019 17:07:28 -0500	Looking for "index".
Wed, 13 Feb 2019 17:07:28 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:07:28 -0500	Found.
Wed, 13 Feb 2019 17:07:28 -0500	Output.
Wed, 13 Feb 2019 17:07:28 -0500	View "/".
Wed, 13 Feb 2019 17:07:29 -0500	Looking for "index".
Wed, 13 Feb 2019 17:07:29 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:07:29 -0500	Found.
Wed, 13 Feb 2019 17:07:29 -0500	Output.
Wed, 13 Feb 2019 17:07:29 -0500	View "/".
Wed, 13 Feb 2019 17:07:29 -0500	Looking for "index".
Wed, 13 Feb 2019 17:07:29 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:07:29 -0500	Found.
Wed, 13 Feb 2019 17:07:29 -0500	Output.
Wed, 13 Feb 2019 17:07:29 -0500	View "/".
Wed, 13 Feb 2019 17:07:30 -0500	Looking for "index".
Wed, 13 Feb 2019 17:07:30 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:07:30 -0500	Found.
Wed, 13 Feb 2019 17:07:30 -0500	Output.
Wed, 13 Feb 2019 17:07:30 -0500	View "/".
Wed, 13 Feb 2019 17:07:30 -0500	Looking for "index".
Wed, 13 Feb 2019 17:07:30 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:07:30 -0500	Found.
Wed, 13 Feb 2019 17:07:30 -0500	Output.
Wed, 13 Feb 2019 17:07:30 -0500	View "/".
Wed, 13 Feb 2019 17:07:31 -0500	Looking for "index".
Wed, 13 Feb 2019 17:07:31 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:07:31 -0500	Found.
Wed, 13 Feb 2019 17:07:31 -0500	Output.
Wed, 13 Feb 2019 17:07:31 -0500	View "/".
Wed, 13 Feb 2019 17:08:28 -0500	Looking for "index".
Wed, 13 Feb 2019 17:08:28 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:08:28 -0500	Found.
Wed, 13 Feb 2019 17:08:28 -0500	Output.
Wed, 13 Feb 2019 17:08:28 -0500	View "/site/pages/.html".
Wed, 13 Feb 2019 17:08:54 -0500	Looking for "index".
Wed, 13 Feb 2019 17:08:54 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:08:54 -0500	Found.
Wed, 13 Feb 2019 17:08:54 -0500	Output.
Wed, 13 Feb 2019 17:08:54 -0500	View "/site/pages/index.html".
Wed, 13 Feb 2019 17:08:55 -0500	Looking for "index".
Wed, 13 Feb 2019 17:08:55 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:08:55 -0500	Found.
Wed, 13 Feb 2019 17:08:55 -0500	Output.
Wed, 13 Feb 2019 17:08:55 -0500	View "/site/pages/index.html".
Wed, 13 Feb 2019 17:09:08 -0500	Looking for "index".
Wed, 13 Feb 2019 17:09:08 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:09:08 -0500	Found.
Wed, 13 Feb 2019 17:09:08 -0500	Output.
Wed, 13 Feb 2019 17:09:08 -0500	View "/Users/donmyers/Projects/php_doc_xo//site/pages/index.html".
Wed, 13 Feb 2019 17:09:19 -0500	Looking for "index".
Wed, 13 Feb 2019 17:09:19 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:09:19 -0500	Found.
Wed, 13 Feb 2019 17:09:19 -0500	Output.
Wed, 13 Feb 2019 17:09:19 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:09:23 -0500	Looking for "index".
Wed, 13 Feb 2019 17:09:23 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:09:23 -0500	Found.
Wed, 13 Feb 2019 17:09:23 -0500	Output.
Wed, 13 Feb 2019 17:09:23 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:09:24 -0500	Looking for "index".
Wed, 13 Feb 2019 17:09:24 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:09:24 -0500	Found.
Wed, 13 Feb 2019 17:09:24 -0500	Output.
Wed, 13 Feb 2019 17:09:24 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:11:10 -0500	Looking for "index".
Wed, 13 Feb 2019 17:11:10 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:11:10 -0500	Found.
Wed, 13 Feb 2019 17:11:10 -0500	Output.
Wed, 13 Feb 2019 17:11:10 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:12:44 -0500	Looking for "index".
Wed, 13 Feb 2019 17:12:44 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:12:44 -0500	Found.
Wed, 13 Feb 2019 17:12:44 -0500	Output.
Wed, 13 Feb 2019 17:12:44 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:13:41 -0500	Looking for "index".
Wed, 13 Feb 2019 17:13:41 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:13:41 -0500	Found.
Wed, 13 Feb 2019 17:13:41 -0500	Output.
Wed, 13 Feb 2019 17:13:41 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:13:42 -0500	Looking for "index".
Wed, 13 Feb 2019 17:13:42 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:13:42 -0500	Found.
Wed, 13 Feb 2019 17:13:42 -0500	Output.
Wed, 13 Feb 2019 17:13:42 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:13:45 -0500	Looking for "index".
Wed, 13 Feb 2019 17:13:45 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:13:45 -0500	Found.
Wed, 13 Feb 2019 17:13:45 -0500	Output.
Wed, 13 Feb 2019 17:13:45 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:13:45 -0500	Looking for "index".
Wed, 13 Feb 2019 17:13:45 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:13:45 -0500	Found.
Wed, 13 Feb 2019 17:13:45 -0500	Output.
Wed, 13 Feb 2019 17:13:45 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:14:04 -0500	Looking for "index".
Wed, 13 Feb 2019 17:14:04 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:14:04 -0500	Found.
Wed, 13 Feb 2019 17:14:04 -0500	Output.
Wed, 13 Feb 2019 17:14:04 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:14:33 -0500	Looking for "index".
Wed, 13 Feb 2019 17:14:33 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:14:33 -0500	Found.
Wed, 13 Feb 2019 17:14:33 -0500	Output.
Wed, 13 Feb 2019 17:14:33 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:14:35 -0500	Looking for "index".
Wed, 13 Feb 2019 17:14:35 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:14:35 -0500	Found.
Wed, 13 Feb 2019 17:14:35 -0500	Output.
Wed, 13 Feb 2019 17:14:35 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
Wed, 13 Feb 2019 17:15:00 -0500	Looking for "index".
Wed, 13 Feb 2019 17:15:00 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:15:00 -0500	Found.
Wed, 13 Feb 2019 17:15:00 -0500	Output.
Wed, 13 Feb 2019 17:15:00 -0500	View "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html".
